FID,FID_1,GEOID10,NAMELSAD10,POP100_RE,Count_,house_inc,Percent_hi,Percent__M,houseinc_k,age,age_error,Diabete,bigger8,8_dia,7_8,78_dia,6_7,67_dia,6no0,6_dia,PropDiab,PropWhite,null_dia,TownName
177,177,25027730600,Census Tract 7306,8799,3592,82037,93,4.6,82,34.7,4.8,338,61,0.180473373,72,0.213017751,137,0.405325444,39,0.115384615,0.094097996,0.840180729,0.0857988,
178,178,25027732802,Census Tract 7328.02,4122,1795,55739,89.8,5.4,56,33.8,5.3,177,46,0.259887006,31,0.175141243,62,0.350282486,23,0.129943503,0.098607242,0.718052307,0.0847458,
179,179,25027732301,Census Tract 7323.01,4155,1784,66962,93.6,2.9,67,39.7,3.7,140,34,0.242857143,34,0.242857143,52,0.371428571,6,0.042857143,0.078475336,0.73738559,0.1,
180,180,25027732302,Census Tract 7323.02,3902,1724,40357,80,5.8,40,33.7,3.7,142,37,0.26056338,32,0.225352113,42,0.295774648,16,0.112676056,0.082366589,0.709826276,0.105634,
181,181,25027731204,Census Tract 7312.04,2498,989,29293,78.2,9.7,29,30.1,3.5,105,35,0.333333333,20,0.19047619,22,0.20952381,8,0.076190476,0.106167846,0.619692864,0.190476,
182,182,25027731203,Census Tract 7312.03,5198,2155,22837,71.6,6.4,23,34.3,4.7,271,88,0.324723247,53,0.195571956,53,0.195571956,19,0.070110701,0.12575406,0.59162131,0.214022,
183,183,25027732203,Census Tract 7322.03,2853,1238,50306,83.1,6.5,50,30.9,2.8,100,18,0.18,21,0.21,35,0.35,9,0.09,0.080775444,0.597995874,0.17,
184,184,25027709400,Census Tract 7094,4750,1560,31705,80.5,8.1,32,35.4,2.7,165,40,0.242424242,26,0.157575758,27,0.163636364,15,0.090909091,0.105769231,0.772820396,0.345455,
185,185,25027710700,Census Tract 7107,1580,672,15652,67.4,8,16,40.8,8.4,102,15,0.147058824,9,0.088235294,9,0.088235294,4,0.039215686,0.151785714,0.744520548,0.637255,
186,186,25027711100,Census Tract 7111,5712,1343,80150,86.3,5.4,80,38.5,5.5,107,23,0.214953271,21,0.196261682,22,0.205607477,14,0.130841121,0.079672375,0.844336084,0.252336,
187,187,25027710200,Census Tract 7102,6759,2378,60875,87.9,3.4,61,40.7,2.8,204,43,0.210784314,37,0.181372549,44,0.215686275,8,0.039215686,0.085786375,0.849174152,0.352941,
188,188,25027731001,Census Tract 7310.01,2229,925,56711,86.9,5,57,35.6,6.3,88,21,0.238636364,16,0.181818182,22,0.25,14,0.159090909,0.095135135,0.776748104,0.170455,
189,189,25027731002,Census Tract 7310.02,6402,2549,42669,79.2,6,43,44.1,3.3,235,64,0.272340426,48,0.204255319,74,0.314893617,19,0.080851064,0.092193017,0.687479243,0.12766,
190,190,25027721101,Census Tract 7211.01,1902,846,80313,93.1,2.1,80,44.7,1.4,60,13,0.216666667,22,0.366666667,18,0.3,3,0.05,0.070921986,0.986134221,0.0666667,OAKHAM
191,191,25027730200,Census Tract 7302,5583,2576,70559,92.8,3.3,71,46.9,1.8,206,37,0.17961165,47,0.22815534,82,0.398058252,26,0.126213592,0.079968944,0.885203575,0.0679612,
192,192,25027740102,Census Tract 7401.02,6053,1997,95917,97.1,1.6,96,41.9,2.1,143,19,0.132867133,30,0.20979021,62,0.433566434,18,0.125874126,0.071607411,0.883391061,0.0979021,
193,193,25027754300,Census Tract 7543,2960,930,38594,80.5,6.5,39,29.3,5.8,72,20,0.277777778,15,0.208333333,14,0.194444444,6,0.083333333,0.077419355,0.794695788,0.236111,
194,194,25027754100,Census Tract 7541,6502,2240,60682,91.3,2.9,61,45.3,3.6,161,37,0.229813665,35,0.217391304,48,0.298136646,18,0.111801242,0.071875,0.915906244,0.142857,WEBSTER
195,195,25027736200,Census Tract 7362,3722,1359,77895,92.6,3.4,78,42.8,2.9,107,27,0.252336449,26,0.242990654,36,0.336448598,6,0.056074766,0.078734364,0.953208556,0.11215,
196,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
